Subject,Activity,variable,Mean
5,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.715731148145695
5,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.748829309536424
5,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.735610602483444
6,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.464770006998123
6,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.483790606354154
6,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.464770006998123
6,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.483790606354154
6,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.551413652396923
6,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.502935062310769
6,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.549494852037046
6,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.579837818063692
6,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.621936158532308
6,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.644474485460492
6,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.473974924380431
6,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.570910289993846
6,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.494882316238462
6,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.516711262173969
6,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.579130051151385
6,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.657368673849846
6,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.651886909221538
6,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.660175875210246
7,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.511312036747403
7,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.510669879158539
7,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.511312036747403
7,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.510669879158539
7,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.622815767680292
7,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.550560230585714
7,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.581899897967532
7,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.598670795839286
7,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.713191348337662
7,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.658017844948377
7,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.518323878824675
7,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.583819796092208
7,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.553360009658182
7,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.550683254908442
7,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.628877272791136
7,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.650923648207792
7,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.668879188156396
7,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.668963362464935
8,SITTING,tBodyAccMag.mean..,-0.360642734297765
8,SITTING,tBodyAccMag.std..,-0.478154547792179
8,SITTING,tGravityAccMag.mean..,-0.360642734297765
8,SITTING,tGravityAccMag.std..,-0.478154547792179
8,SITTING,tBodyAccJerkMag.mean..,-0.443233657336201
8,SITTING,tBodyAccJerkMag.std..,-0.488311280762011
8,SITTING,tBodyGyroMag.mean..,-0.384089748443911
8,SITTING,tBodyGyroMag.std..,-0.514821632079888
8,SITTING,tBodyGyroJerkMag.mean..,-0.620014686122905
8,SITTING,tBodyGyroJerkMag.std..,-0.666549346351955
8,SITTING,fBodyAccMag.mean..,-0.427111328334078
8,SITTING,fBodyAccMag.std..,-0.59384213912514
8,SITTING,fBodyBodyAccJerkMag.mean..,-0.442103958836313
8,SITTING,fBodyBodyAccJerkMag.std..,-0.558810587379888
8,SITTING,fBodyBodyGyroMag.mean..,-0.549477566316201
8,SITTING,fBodyBodyGyroMag.std..,-0.578223176773743
8,SITTING,fBodyBodyGyroJerkMag.mean..,-0.650017653313408
8,SITTING,fBodyBodyGyroJerkMag.std..,-0.714053548100559
8,WALKING_DOWNSTAIRS,tBodyAccMag.mean..,-0.657841168134314
8,WALKING_DOWNSTAIRS,tBodyAccMag.std..,-0.687208716852941
8,WALKING_DOWNSTAIRS,tGravityAccMag.mean..,-0.657841168134314
8,WALKING_DOWNSTAIRS,tGravityAccMag.std..,-0.687208716852941
8,WALKING_DOWNSTAIRS,tBodyAccJerkMag.mean..,-0.693970947105882
8,WALKING_DOWNSTAIRS,tBodyAccJerkMag.std..,-0.698126595419608
8,WALKING_DOWNSTAIRS,tBodyGyroMag.mean..,-0.637885629840196
8,WALKING_DOWNSTAIRS,tBodyGyroMag.std..,-0.698301555280392
8,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.mean..,-0.767707293078431
8,WALKING_DOWNSTAIRS,tBodyGyroJerkMag.std..,-0.802335816990196
8,WALKING_DOWNSTAIRS,fBodyAccMag.mean..,-0.661265500205882
8,WALKING_DOWNSTAIRS,fBodyAccMag.std..,-0.753064279735294
8,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.mean..,-0.682168739176471
8,WALKING_DOWNSTAIRS,fBodyBodyAccJerkMag.std..,-0.721947141656863
8,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.mean..,-0.71616765577451
8,WALKING_DOWNSTAIRS,fBodyBodyGyroMag.std..,-0.739249164401961
8,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.793654280423529
8,WALKING_DOWNSTAIRS,fBodyBodyGyroJerkMag.std..,-0.828833099803922
9,WALKING,tBodyAccMag.mean..,-0.505183470509188
9,WALKING,tBodyAccMag.std..,-0.553038255314792
9,WALKING,tGravityAccMag.mean..,-0.505183470509188
9,WALKING,tGravityAccMag.std..,-0.553038255314792
9,WALKING,tBodyAccJerkMag.mean..,-0.621608245092361
9,WALKING,tBodyAccJerkMag.std..,-0.608862145384722
9,WALKING,tBodyGyroMag.mean..,-0.550201866572569
9,WALKING,tBodyGyroMag.std..,-0.663198385034722
9,WALKING,tBodyGyroJerkMag.mean..,-0.7629795809375
9,WALKING,tBodyGyroJerkMag.std..,-0.786176892048611
9,WALKING,fBodyAccMag.mean..,-0.553186448295139
9,WALKING,fBodyAccMag.std..,-0.624456827182986
9,WALKING,fBodyBodyAccJerkMag.mean..,-0.609193721940625
9,WALKING,fBodyBodyAccJerkMag.std..,-0.611619343190972
9,WALKING,fBodyBodyGyroMag.mean..,-0.700863097986111
9,WALKING,fBodyBodyGyroMag.std..,-0.697729432621528
9,WALKING,fBodyBodyGyroJerkMag.mean..,-0.786473954201389
9,WALKING,fBodyBodyGyroJerkMag.std..,-0.801296292638889
10,WALKING,tBodyAccMag.mean..,-0.502500207000204
10,WALKING,tBodyAccMag.std..,-0.545348810631551
10,WALKING,tGravityAccMag.mean..,-0.502500207000204
10,WALKING,tGravityAccMag.std..,-0.545348810631551
10,WALKING,tBodyAccJerkMag.mean..,-0.57776193128833
10,WALKING,tBodyAccJerkMag.std..,-0.529340480130272
10,WALKING,tBodyGyroMag.mean..,-0.521819802352381
10,WALKING,tBodyGyroMag.std..,-0.624408369413333
10,WALKING,tBodyGyroJerkMag.mean..,-0.734465805340136
10,WALKING,tBodyGyroJerkMag.std..,-0.768821828979592
10,WALKING,fBodyAccMag.mean..,-0.518734046961905
10,WALKING,fBodyAccMag.std..,-0.633196110969728
10,WALKING,fBodyBodyAccJerkMag.mean..,-0.515140810846939
10,WALKING,fBodyBodyAccJerkMag.std..,-0.553027359614864
10,WALKING,fBodyBodyGyroMag.mean..,-0.661496552826531
10,WALKING,fBodyBodyGyroMag.std..,-0.666014612598639
10,WALKING,fBodyBodyGyroJerkMag.mean..,-0.767780095068027
10,WALKING,fBodyBodyGyroJerkMag.std..,-0.787144257176871
11,SITTING,tBodyAccMag.mean..,-0.542825032813608
11,SITTING,tBodyAccMag.std..,-0.612882270912658
11,SITTING,tGravityAccMag.mean..,-0.542825032813608
11,SITTING,tGravityAccMag.std..,-0.612882270912658
11,SITTING,tBodyAccJerkMag.mean..,-0.679819504547468
11,SITTING,tBodyAccJerkMag.std..,-0.664241760370253
11,SITTING,tBodyGyroMag.mean..,-0.628367851066456
11,SITTING,tBodyGyroMag.std..,-0.696771378957911
11,SITTING,tBodyGyroJerkMag.mean..,-0.826829028481013
11,SITTING,tBodyGyroJerkMag.std..,-0.866905012626582
11,SITTING,fBodyAccMag.mean..,-0.611528074359177
11,SITTING,fBodyAccMag.std..,-0.674470159009494
11,SITTING,fBodyBodyAccJerkMag.mean..,-0.656133473274684
11,SITTING,fBodyBodyAccJerkMag.std..,-0.676925075857595
11,SITTING,fBodyBodyGyroMag.mean..,-0.757585939588608
11,SITTING,fBodyBodyGyroMag.std..,-0.711267219682278
11,SITTING,fBodyBodyGyroJerkMag.mean..,-0.864827011392405
11,SITTING,fBodyBodyGyroJerkMag.std..,-0.879254016740506
12,WALKING,tBodyAccMag.mean..,-0.559586545675313
12,WALKING,tBodyAccMag.std..,-0.5743864944925
12,WALKING,tGravityAccMag.mean..,-0.559586545675313
12,WALKING,tGravityAccMag.std..,-0.5743864944925
12,WALKING,tBodyAccJerkMag.mean..,-0.6300504918575
12,WALKING,tBodyAccJerkMag.std..,-0.566365683597188
12,WALKING,tBodyGyroMag.mean..,-0.63166805889875
12,WALKING,tBodyGyroMag.std..,-0.68485805678325
12,WALKING,tBodyGyroJerkMag.mean..,-0.77729447821875
12,WALKING,tBodyGyroJerkMag.std..,-0.7863865328125
12,WALKING,fBodyAccMag.mean..,-0.55928367746625
12,WALKING,fBodyAccMag.std..,-0.65053328158
12,WALKING,fBodyBodyAccJerkMag.mean..,-0.564239194378438
12,WALKING,fBodyBodyAccJerkMag.std..,-0.571614888155312
12,WALKING,fBodyBodyGyroMag.mean..,-0.717311676745625
12,WALKING,fBodyBodyGyroMag.std..,-0.719438065809375
12,WALKING,fBodyBodyGyroJerkMag.mean..,-0.78990285099375
12,WALKING,fBodyBodyGyroJerkMag.std..,-0.7973614576875
13,WALKING,tBodyAccMag.mean..,-0.604692369727861
13,WALKING,tBodyAccMag.std..,-0.649879523726368
13,WALKING,tGravityAccMag.mean..,-0.604692369727861
13,WALKING,tGravityAccMag.std..,-0.649879523726368
13,WALKING,tBodyAccJerkMag.mean..,-0.685342743343284
13,WALKING,tBodyAccJerkMag.std..,-0.673907540048756
13,WALKING,tBodyGyroMag.mean..,-0.622856960360199
13,WALKING,tBodyGyroMag.std..,-0.666735106552239
13,WALKING,tBodyGyroJerkMag.mean..,-0.726531313462687
13,WALKING,tBodyGyroJerkMag.std..,-0.696233146947761
13,WALKING,fBodyAccMag.mean..,-0.647360093049254
13,WALKING,fBodyAccMag.std..,-0.706758161343284
13,WALKING,fBodyBodyAccJerkMag.mean..,-0.668685326051741
13,WALKING,fBodyBodyAccJerkMag.std..,-0.682496575521194
13,WALKING,fBodyBodyGyroMag.mean..,-0.667463924885572
13,WALKING,fBodyBodyGyroMag.std..,-0.728456241741294
13,WALKING,fBodyBodyGyroJerkMag.mean..,-0.692302573566667
13,WALKING,fBodyBodyGyroJerkMag.std..,-0.723677100534826
13,WALKING_UPSTAIRS,tBodyAccMag.mean..,-0.436467135438889
13,WALKING_UPSTAIRS,tBodyAccMag.std..,-0.513244022742063
13,WALKING_UPSTAIRS,tGravityAccMag.mean..,-0.436467135438889
13,WALKING_UPSTAIRS,tGravityAccMag.std..,-0.513244022742063
13,WALKING_UPSTAIRS,tBodyAccJerkMag.mean..,-0.529950774433333
13,WALKING_UPSTAIRS,tBodyAccJerkMag.std..,-0.508697278718016
13,WALKING_UPSTAIRS,tBodyGyroMag.mean..,-0.514787204833333
13,WALKING_UPSTAIRS,tBodyGyroMag.std..,-0.587917292174603
13,WALKING_UPSTAIRS,tBodyGyroJerkMag.mean..,-0.690752641031746
13,WALKING_UPSTAIRS,tBodyGyroJerkMag.std..,-0.737297702619048
13,WALKING_UPSTAIRS,fBodyAccMag.mean..,-0.498310419119048
13,WALKING_UPSTAIRS,fBodyAccMag.std..,-0.599280780396825
13,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.mean..,-0.509363582493651
13,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.std..,-0.512713238301984
13,WALKING_UPSTAIRS,fBodyBodyGyroMag.mean..,-0.627916082047619
13,WALKING_UPSTAIRS,fBodyBodyGyroMag.std..,-0.633623437833333
13,WALKING_UPSTAIRS,fBodyBodyGyroJerkMag.mean..,-0.743563179047619
13,WALKING_UPSTAIRS,fBodyBodyGyroJerkMag.std..,-0.748348646428571
14,SITTING,tBodyAccMag.mean..,-0.453262620331889
14,SITTING,tBodyAccMag.std..,-0.474058613408978
14,SITTING,tGravityAccMag.mean..,-0.453262620331889
14,SITTING,tGravityAccMag.std..,-0.474058613408978
14,SITTING,tBodyAccJerkMag.mean..,-0.608973420309907
14,SITTING,tBodyAccJerkMag.std..,-0.605144269857245
14,SITTING,tBodyGyroMag.mean..,-0.416459776709257
14,SITTING,tBodyGyroMag.std..,-0.471486714606811
14,SITTING,tBodyGyroJerkMag.mean..,-0.700520939854799
14,SITTING,tBodyGyroJerkMag.std..,-0.727023009383901
14,SITTING,fBodyAccMag.mean..,-0.490874179820433
14,SITTING,fBodyAccMag.std..,-0.548269930770588
14,SITTING,fBodyBodyAccJerkMag.mean..,-0.596896308848452
14,SITTING,fBodyBodyAccJerkMag.std..,-0.619215144539319
14,SITTING,fBodyBodyGyroMag.mean..,-0.543030528985449
14,SITTING,fBodyBodyGyroMag.std..,-0.516930495917399
14,SITTING,fBodyBodyGyroJerkMag.mean..,-0.717590101802972
14,SITTING,fBodyBodyGyroJerkMag.std..,-0.760560087962848
15,SITTING,tBodyAccMag.mean..,-0.527285352000488
15,SITTING,tBodyAccMag.std..,-0.557147874176037
15,SITTING,tGravityAccMag.mean..,-0.527285352000488
15,SITTING,tGravityAccMag.std..,-0.557147874176037
15,SITTING,tBodyAccJerkMag.mean..,-0.654799694757531
15,SITTING,tBodyAccJerkMag.std..,-0.625660376546646
15,SITTING,tBodyGyroMag.mean..,-0.617721779796037
15,SITTING,tBodyGyroMag.std..,-0.675336960047866
15,SITTING,tBodyGyroJerkMag.mean..,-0.805282669512195
15,SITTING,tBodyGyroJerkMag.std..,-0.837120078079268
15,SITTING,fBodyAccMag.mean..,-0.562948391223628
15,SITTING,fBodyAccMag.std..,-0.623655618198171
15,SITTING,fBodyBodyAccJerkMag.mean..,-0.614817605125915
15,SITTING,fBodyBodyAccJerkMag.std..,-0.643101167069512
15,SITTING,fBodyBodyGyroMag.mean..,-0.732394493841463
15,SITTING,fBodyBodyGyroMag.std..,-0.695346839682927
15,SITTING,fBodyBodyGyroJerkMag.mean..,-0.83680189402439
15,SITTING,fBodyBodyGyroJerkMag.std..,-0.849634463841463
16,SITTING,tBodyAccMag.mean..,-0.616131116889044
16,SITTING,tBodyAccMag.std..,-0.661719690491803
16,SITTING,tGravityAccMag.mean..,-0.616131116889044
16,SITTING,tGravityAccMag.std..,-0.661719690491803
16,SITTING,tBodyAccJerkMag.mean..,-0.725246870486339
16,SITTING,tBodyAccJerkMag.std..,-0.719647028238525
16,SITTING,tBodyGyroMag.mean..,-0.718168775628415
16,SITTING,tBodyGyroMag.std..,-0.78482286579235
16,SITTING,tBodyGyroJerkMag.mean..,-0.860446372459016
16,SITTING,tBodyGyroJerkMag.std..,-0.87480016568306
16,SITTING,fBodyAccMag.mean..,-0.666962508246721
16,SITTING,fBodyAccMag.std..,-0.712680990765301
16,SITTING,fBodyBodyAccJerkMag.mean..,-0.713167613706148
16,SITTING,fBodyBodyAccJerkMag.std..,-0.729869398769672
16,SITTING,fBodyBodyGyroMag.mean..,-0.81712881920765
16,SITTING,fBodyBodyGyroMag.std..,-0.802078223409836
16,SITTING,fBodyBodyGyroJerkMag.mean..,-0.87277228273224
16,SITTING,fBodyBodyGyroJerkMag.std..,-0.886533212213115
17,SITTING,tBodyAccMag.mean..,-0.686476820794717
17,SITTING,tBodyAccMag.std..,-0.734866170311698
17,SITTING,tGravityAccMag.mean..,-0.686476820794717
17,SITTING,tGravityAccMag.std..,-0.734866170311698
17,SITTING,tBodyAccJerkMag.mean..,-0.775760563254717
17,SITTING,tBodyAccJerkMag.std..,-0.773678225276604
17,SITTING,tBodyGyroMag.mean..,-0.764675748217547
17,SITTING,tBodyGyroMag.std..,-0.828039129471698
17,SITTING,tBodyGyroJerkMag.mean..,-0.849786178792453
17,SITTING,tBodyGyroJerkMag.std..,-0.853886196264151
17,SITTING,fBodyAccMag.mean..,-0.740667048686415
17,SITTING,fBodyAccMag.std..,-0.773237749395849
17,SITTING,fBodyBodyAccJerkMag.mean..,-0.774571437356604
17,SITTING,fBodyBodyAccJerkMag.std..,-0.774295791032453
17,SITTING,fBodyBodyGyroMag.mean..,-0.831350432716981
17,SITTING,fBodyBodyGyroMag.std..,-0.857834029660377
17,SITTING,fBodyBodyGyroJerkMag.mean..,-0.858227314377358
17,SITTING,fBodyBodyGyroJerkMag.std..,-0.859786587471698
17,STANDING,tBodyAccMag.mean..,-0.264493090446019
17,STANDING,tBodyAccMag.std..,-0.38190167633301
17,STANDING,tGravityAccMag.mean..,-0.264493090446019
17,STANDING,tGravityAccMag.std..,-0.38190167633301
17,STANDING,tBodyAccJerkMag.mean..,-0.49245284776699
17,STANDING,tBodyAccJerkMag.std..,-0.488811102621359
17,STANDING,tBodyGyroMag.mean..,-0.448515068843689
17,STANDING,tBodyGyroMag.std..,-0.54973870607767
17,STANDING,tBodyGyroJerkMag.mean..,-0.70920322631068
17,STANDING,tBodyGyroJerkMag.std..,-0.751595678058252
17,STANDING,fBodyAccMag.mean..,-0.403114961887379
17,STANDING,fBodyAccMag.std..,-0.467044577843689
17,STANDING,fBodyBodyAccJerkMag.mean..,-0.499479367087379
17,STANDING,fBodyBodyAccJerkMag.std..,-0.48239671884466
17,STANDING,fBodyBodyGyroMag.mean..,-0.610365070582524
17,STANDING,fBodyBodyGyroMag.std..,-0.587723691067961
17,STANDING,fBodyBodyGyroJerkMag.mean..,-0.754248213883495
17,STANDING,fBodyBodyGyroJerkMag.std..,-0.766587678058252
18,WALKING_UPSTAIRS,tBodyAccMag.mean..,-0.658370952115385
18,WALKING_UPSTAIRS,tBodyAccMag.std..,-0.689671890376374
18,WALKING_UPSTAIRS,tGravityAccMag.mean..,-0.658370952115385
18,WALKING_UPSTAIRS,tGravityAccMag.std..,-0.689671890376374
18,WALKING_UPSTAIRS,tBodyAccJerkMag.mean..,-0.753904676895604
18,WALKING_UPSTAIRS,tBodyAccJerkMag.std..,-0.745212812708791
18,WALKING_UPSTAIRS,tBodyGyroMag.mean..,-0.714735668626374
18,WALKING_UPSTAIRS,tBodyGyroMag.std..,-0.775779058758242
18,WALKING_UPSTAIRS,tBodyGyroJerkMag.mean..,-0.859899942335165
18,WALKING_UPSTAIRS,tBodyGyroJerkMag.std..,-0.88856533728022
18,WALKING_UPSTAIRS,fBodyAccMag.mean..,-0.697732862178571
18,WALKING_UPSTAIRS,fBodyAccMag.std..,-0.733904051236264
18,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.mean..,-0.742323821887363
18,WALKING_UPSTAIRS,fBodyBodyAccJerkMag.std..,-0.750189976318681
18,WALKING_UPSTAIRS,fBodyBodyGyroMag.mean..,-0.816286626730769
